,designatedArea,incidentType
18742,Garfield ,Severe Storm(s)
18821,McClain ,Severe Ice Storm
18834,Blaine ,Severe Ice Storm
18844,Washington ,Severe Ice Storm
18890,Pottawatomie ,Severe Storm(s)
18905,Garvin ,Severe Storm(s)
18927,Cimarron ,Fire
18958,Blaine ,Severe Storm(s)
18974,Stephens ,Severe Storm(s)
18989,Okmulgee ,Fire
19075,Ellis ,Severe Ice Storm
19099,Caddo ,Severe Ice Storm
19105,Creek ,Severe Storm(s)
19120,Cimarron ,Severe Storm(s)
19125,Garvin ,Severe Storm(s)
19150,Stephens ,Severe Ice Storm
19162,Blaine ,Severe Storm(s)
19169,Washington ,Severe Storm(s)
19170,Cimarron ,Severe Storm(s)
19173,Lincoln ,Severe Storm(s)
19190,Nowata ,Severe Ice Storm
19211,Latimer ,Fire
19236,Kingfisher ,Severe Storm(s)
19387,Grant ,Severe Ice Storm
19415,Custer ,Severe Ice Storm
19425,Logan ,Severe Ice Storm
19442,Cimarron ,Severe Ice Storm
19443,Nowata ,Severe Ice Storm
19475,Harper ,Severe Storm(s)
19483,Grady ,Severe Ice Storm
19498,Creek ,Severe Ice Storm
19536,Delaware ,Severe Storm(s)
19604,Roger Mills ,Severe Ice Storm
19630,Beaver ,Fire
19632,Latimer ,Severe Storm(s)
19653,Okmulgee ,Severe Storm(s)
19671,Dewey ,Severe Ice Storm
19674,Pawnee ,Severe Ice Storm
19722,Kiowa ,Severe Ice Storm
19774,Mayes ,Fire
19917,Major ,Severe Ice Storm
19957,Ottawa ,Severe Storm(s)
19993,Kay ,Severe Ice Storm
20070,Texas ,Severe Storm(s)
20086,Garfield ,Severe Storm(s)
20098,Canadian ,Severe Storm(s)
20146,Grady ,Severe Storm(s)
20150,Osage ,Severe Storm(s)
20184,Beckham ,Severe Storm(s)
20200,Kiowa ,Severe Ice Storm
20305,Washington ,Fire
20440,Nowata ,Severe Storm(s)
20554,Woodward ,Severe Storm(s)
20618,Logan ,Severe Storm(s)
20763,Wagoner ,Severe Storm(s)
20845,Kiowa ,Fire
20948,Canadian ,Severe Storm(s)
20966,Bryan ,Severe Storm(s)
20988,Tulsa ,Severe Ice Storm
21006,Ottawa ,Fire
21042,Harper ,Fire
21050,Cotton ,Fire
21064,Jefferson ,Fire
21069,Pontotoc ,Severe Storm(s)
21122,Woods ,Fire
21124,Dewey ,Fire
21317,Harmon ,Fire
21332,Noble ,Severe Storm(s)
21354,Beaver ,Severe Ice Storm
21388,Craig ,Fire
21424,Garvin ,Severe Storm(s)
21433,Pontotoc ,Fire
21435,McClain ,Severe Storm(s)
21436,Bryan ,Fire
21454,Haskell ,Fire
21457,Kay ,Severe Storm(s)
21459,Canadian ,Fire
21499,Murray ,Fire
21512,Blaine ,Fire
21527,Muskogee ,Fire
21549,Cherokee ,Fire
21595,Choctaw ,Fire
21682,Johnston ,Severe Storm(s)
21697,Custer ,Fire
21705,McClain ,Fire
21714,Cotton ,Severe Storm(s)
21719,Major ,Severe Storm(s)
21779,Kay ,Severe Storm(s)
21789,Delaware ,Severe Storm(s)
21806,Caddo ,Severe Storm(s)
21816,Coal ,Fire
21868,Greer ,Fire
21897,Creek ,Severe Ice Storm
21900,Carter ,Severe Storm(s)
21917,McClain ,Severe Storm(s)
21939,Delaware ,Flood
21989,Alfalfa ,Severe Storm(s)
21992,Caddo ,Fire
22001,Cotton ,Severe Storm(s)
22043,Comanche ,Fire
22069,Craig ,Severe Storm(s)
22117,Mayes ,Severe Ice Storm
22124,Cleveland ,Severe Storm(s)
22137,Alfalfa ,Fire
22159,Pontotoc ,Severe Storm(s)
22165,Woods ,Severe Storm(s)
22176,Rogers ,Severe Storm(s)
22222,Lincoln ,Fire
22241,Garvin ,Fire
22242,Cherokee ,Severe Storm(s)
22274,McClain ,Severe Storm(s)
22287,Pushmataha ,Flood
22292,Love ,Severe Storm(s)
22338,Pawnee ,Severe Storm(s)
22356,Carter ,Fire
22379,Cotton ,Severe Storm(s)
22383,McIntosh ,Severe Storm(s)
22399,Johnston ,Severe Storm(s)
22400,Okfuskee ,Fire
22424,Hughes ,Severe Storm(s)
22435,McIntosh ,Severe Storm(s)
22455,Atoka ,Severe Storm(s)
22473,Payne ,Fire
22474,Payne ,Severe Storm(s)
22534,Kingfisher ,Severe Storm(s)
22541,Canadian ,Severe Storm(s)
22545,Delaware ,Severe Storm(s)
22551,Pottawatomie ,Severe Storm(s)
22556,Canadian ,Severe Storm(s)
22574,McIntosh ,Fire
22576,Stephens ,Fire
22587,Johnston ,Fire
22593,Love ,Fire
22598,Rogers ,Severe Storm(s)
22676,Lincoln ,Severe Storm(s)
22687,Tulsa ,Fire
22714,Wagoner ,Fire
22719,Nowata ,Severe Storm(s)
22722,Caddo ,Severe Ice Storm
22774,McClain ,Severe Storm(s)
22778,Grant ,Severe Storm(s)
22815,Stephens ,Severe Storm(s)
22818,Rogers ,Severe Storm(s)
22825,Delaware ,Severe Storm(s)
22829,Hughes ,Fire
22873,Pawnee ,Severe Ice Storm
22886,Kingfisher ,Fire
22891,Hughes ,Severe Storm(s)
22947,Tulsa ,Severe Storm(s)
22952,Grady ,Fire
22955,Nowata ,Fire
22970,Atoka ,Fire
22986,Pontotoc ,Severe Storm(s)
23002,Cleveland ,Severe Storm(s)
23013,Atoka ,Severe Storm(s)
23015,Beckham ,Fire
23019,Okmulgee ,Severe Ice Storm
23037,Wagoner ,Severe Ice Storm
23042,Blaine ,Severe Storm(s)
23055,Marshall ,Fire
23068,Delaware ,Fire
23078,Love ,Flood
23079,Rogers ,Flood
23080,Pushmataha ,Fire
23084,Choctaw ,Severe Storm(s)
23104,Grady ,Severe Storm(s)
23122,Jackson ,Fire
23126,Noble ,Fire
23140,Dewey ,Severe Storm(s)
23154,Latimer ,Severe Storm(s)
23167,Lincoln ,Severe Storm(s)
23192,Ottawa ,Flood
23206,Pottawatomie ,Severe Storm(s)
23218,Ottawa ,Severe Storm(s)
23232,Sequoyah ,Severe Storm(s)
23241,Kiowa ,Severe Storm(s)
23249,Blaine ,Severe Storm(s)
23255,Pawnee ,Severe Storm(s)
23258,Wagoner ,Severe Storm(s)
23287,Sequoyah ,Flood
23291,Caddo ,Severe Storm(s)
23300,Garvin ,Severe Storm(s)
23308,Bryan ,Severe Storm(s)
23311,Beckham ,Severe Storm(s)
23316,Kiowa ,Severe Storm(s)
23377,Alfalfa ,Severe Storm(s)
23378,Washita ,Severe Storm(s)
23381,McIntosh ,Severe Storm(s)
23421,Comanche ,Severe Storm(s)
23424,Tillman ,Severe Storm(s)
23451,Delaware ,Severe Ice Storm
23477,Washita ,Severe Storm(s)
23480,Blaine ,Severe Storm(s)
23488,Grady ,Severe Ice Storm
23496,Garfield ,Severe Storm(s)
23517,Beckham ,Severe Storm(s)
23532,Greer ,Severe Storm(s)
23541,Custer ,Severe Storm(s)
23545,Okmulgee ,Severe Storm(s)
23565,McIntosh ,Flood
23571,Adair ,Flood
23576,Creek ,Fire
23583,Washington ,Severe Storm(s)
23588,Alfalfa ,Severe Storm(s)
23600,Dewey ,Severe Storm(s)
23603,Payne ,Severe Storm(s)
23609,McCurtain ,Fire
23624,Kingfisher ,Severe Storm(s)
23638,Muskogee ,Severe Storm(s)
23643,Washington ,Severe Storm(s)
23664,Woodward ,Fire
23667,Seminole ,Fire
23672,Washita ,Severe Storm(s)
23675,Pottawatomie ,Fire
23683,Latimer ,Flood
23702,Sequoyah ,Severe Storm(s)
23710,Pittsburg ,Fire
23754,Le Flore ,Fire
23775,Wagoner ,Severe Storm(s)
23779,Okmulgee ,Severe Storm(s)
23783,Tillman ,Flood
23784,Washington ,Severe Ice Storm
23798,Pawnee ,Fire
23809,Garfield ,Fire
23818,Pottawatomie ,Severe Storm(s)
23819,Delaware ,Severe Storm(s)
23854,Sequoyah ,Severe Storm(s)
23865,Craig ,Severe Ice Storm
23870,Woods ,Severe Storm(s)
23893,Dewey ,Severe Storm(s)
23897,Kay ,Severe Storm(s)
23902,Wagoner ,Flood
23903,Muskogee ,Severe Storm(s)
23907,Jackson ,Severe Storm(s)
23910,Rogers ,Fire
23945,Okfuskee ,Severe Ice Storm
23973,Craig ,Severe Storm(s)
23978,Cleveland ,Severe Storm(s)
23980,Pittsburg ,Flood
23983,Pottawatomie ,Severe Ice Storm
23985,Tulsa ,Severe Storm(s)
23995,Tillman ,Fire
24036,Seminole ,Severe Storm(s)
24043,Latimer ,Severe Storm(s)
